title,brank,price,color,opinions,average_opinions,raw_description,seller,url
Celular MOTOROLA One Zoom 128GB Gris,MOTOROLA,$ 1.699.900,16 Mpx,4,4,Celular MOTOROLA One Zoom 128GB GrisPantalla OLED 1080 x 2340 full HD128 GB ,Alkosto,http://www.alkosto.com/celular-motorola-one-zoom-128gb-gris
Celular XIAOMI REDMI Note 8 -64GB Negro,XIAOMI,$ 689.900,SI,145,5,"Como un experto, podrás disfrutar las cuatro cámaras de Xiaomi para tomar las mejores fotos y tener el mejor rendimiento para todo el día.Batería de 4000 mAh con carga rápida.Memoria de 64GB  para guardar todos tus recuerdos.Pantalla de 6,3"" para ver tus películas favoritas. ",Alkosto,http://www.alkosto.com/celular-xiaomi-redmi-note-8-64gb-negro
Celular XIAOMI REDMI Note 8 -128GB Azul,XIAOMI,$ 779.900,SI,134,5,"Como un experto, podrás disfrutar las cuatro cámaras de Xiaomi para tomar las mejores fotos y tener el mejor rendimiento para todo el día.Batería de 4000 mAh con carga rápida.Memoria de 128GB  para guardar todos tus recuerdos.Pantalla de 6,3"" para ver tus películas favoritas. ",Alkosto,http://www.alkosto.com/celular-xiaomi-redmi-note-8-128gb-azul
Celular HUAWEI Y9 Prime 128GB  Azul ,HUAWEI,$ 749.900,NO,125,5," El Huawei Y9 Prime te ofrece una experiencia envolvente y sorprendente con colores vivos y ángulos de visión increíbles para jugar, ver películas, trabajar y disfrutar de una experiencia multimedia inigualable e ininterrumpida al no tener ningún tipo de muesca. Adicionalmente la cámara POP UP de Huawei brinda una experiencia de última tecnología con selfies inigualables y modos de fotografía útiles y divertidos para toda ocasión. La cámara con el modo en retrato de alta precisión y su triple cámara con inteligencia artificial que identifica y resalta lo más importante de cada escena, fotografías más amplias y ultra gran angulares sin necesidad de moverse y retroceder y modo súper noche para obtener los mejores resultados aun en condiciones de muy poca luzPantalla ultra full view de 6.59"", mejor experiencia.Cámara  POP-UP para mejores selfies.Triple cámara posterior con Inteligencia artificial. ",Alkosto,http://www.alkosto.com/celular-huawei-y9-prime-128gb-azul
iPhone 11 128 GB en negro,APPLE,$ 3.689.000,Negro,15,5,"El nuevo iPhone 11 tiene un sistema de dos cámaras que te permite tomar fotos con ultra gran angular, capturar excelentes fotos nocturnas con el modo Noche y grabar videos con una calidad sorprendente. Además, es resistente al agua y al polvo1, tiene una batería para todo el día y viene en seis colores asombrosos. Disfruta la espectacular experiencia de tener un iPhone 11.* Entregas a partir del 18 de octubre de 2019. Nuevo sistema de dos cámaras. Fotos en situaciones de poca luz con el modo Noche.Resistencia al agua de hasta 30 min (Prof max 2 metros). ",Alkosto,http://www.alkosto.com/iphone-11-128-gb-en-negro
