uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
4b53f9e88f6e85770556994d36411d55,"Faced with growing political opposition to the state of alarm implemented in mid-March to combat the spread of the coronavirus, the Spanish government is seeking to extend its emergency powers by framing an upcoming vote in Congress as a choice between the “state of alarm or chaos.”",Spain’s prime minister gears up for fight to extend state of alarm,https://english.elpais.com/spanish_news/2020-05-04/spains-pm-gears-up-for-fight-to-extend-state-of-alarm.html,elpais,english.elpais.com,13,45
8c19b4c534e2e8ebe88f4103aed5230e,"“Las compras de deuda soberana por parte del BCE son en parte inconstitucionales”, rugía este martes la web del Handelsblatt, la biblia de los negocios en Alemania. La sentencia del Constitucional del martes supone un petardazo inesperado hacia Fráncfort y Luxemburgo, sedes de dos de las instituciones europeas más importantes y con un papel más destacado en la anterior crisis, el BCE y el Tribunal de Justicia de la UE.",Un petardazo de Berlín hacia Europa,https://elpais.com/economia/2020-05-05/un-petardazo-de-berlin-hacia-europa.html,elpais,elpais.com,4,36
96d008cb56839db4606ece1c2722c515,"Estos días tan intensos nos han afectado personalmente a todos de maneras muy diferentes. Han revelado la extraordinaria bondad que existe en la humanidad, al tiempo que han puesto de relieve los peligrosos defectos inherentes a nuestro Gobierno y a nuestra sociedad. Las lecciones que hemos aprendido de nuestros errores durante esta crisis deben inspirar las medidas que tenemos que tomar ahora, decisiones que forjarán el futuro de nuestro mundo a medida que avancemos. Esperemos que las valiosas vidas que hemos perdido y los éxitos empresariales fruto del esfuerzo que han quedado destruidos no ...",Encontrar la verdad en la tragedia,https://elpais.com/opinion/2020-05-05/encontrar-la-verdad-en-la-tragedia.html,elpais,elpais.com,3,45
9c3c00918dfba0dd813c720ce0b7a999,"Desde que comenzó la crisis del coronavirus, EL PAÍS se ha ido adaptando a una situación desconocida. ¿Qué cambios esperan al periodismo, cómo será la relación con los lectores, cuál será la misión de las grandes cabeceras? La directora de EL PAÍS, Soledad Gallego-Díaz, y Montserrat Domínguez conversan sobre los retos del periodismo. Dentro de esa transformación, el diario pone en marcha un modelo de suscripción que quiere ser un pacto de compromiso con los lectores.","Podcast | La directora de EL PAÍS, Soledad Gallego-Díaz, habla con Montserrat Domínguez sobre el periodismo en tiempos del coronavirus",https://elpais.com/sociedad/modelo-de-suscripcion/2020-04-30/podcast-la-directora-de-el-pais-soledad-gallego-diaz-habla-con-montserrat-dominguez-sobre-el-periodismo-en-tiempos-del-coronavirus.html,elpais,elpais.com,10,38
7500be87ae68df5d181e63133c3ea87e,"Una sociedad impulsada por los datos no es el futuro, ya es el presente. Y aunque no siempre veamos esta información, hoy día está cambiando la manera en que los gobiernos y organizaciones toman decisiones que nos afectan a todos. ",¿Pueden los datos solucionar el próximo gran problema? ,https://elpais.com/economia/2020-05-04/pueden-los-datos-solucionar-el-proximo-gran-problema.html,elpais,elpais.com,5,18
0d94b678e9b38b3e0452255b3f7b7aef,"En el puesto de tomates dicen que el 108 ha cerrado porque el dueño murió de coronavirus. “No, es que han bajado las ventas y no podía mantener el negocio”, cuentan sin embargo detrás de las cajas del chiles serranos. El de las cebollas se ajusta el cubrebocas y, casi susurrando, dice que “no era muy limpio” y por eso Sanidad le ha cerrado el puesto. “Lo que pasa es que se asustó porque sí esta habiendo muchos muertitos”, avisan desde el local de papas. Y al final del pasillo, mientras espera su turno para almorzar unos tacos al pastor, otro vendedor de frutas reflexiona estoicamente: “Quién sabe lo que pasó o vaya a pasar con el pinche virus. Al final de cuentas, todos vamos a ir para allá cuando diosito nos llame”.",El virus anda suelto en el gran mercado de Latinoamérica,https://elpais.com/sociedad/2020-05-04/el-virus-anda-suelto-en-el-gran-mercado-de-latinoamerica.html,elpais,elpais.com,6,60
cf94b762a0be7ec5273c44903a7ce74c,"El Gobierno del Reino Unido, liderado por Boris Johnson, se ha propuesto evitar que la realidad de una pandemia global, especialmente inclemente con los británicos, altere la estrategia de la era post-Brexit. Londres y Washington han puesto en marcha este martes la negociación de un futuro tratado comercial que, según los euroescépticos más recalcitrantes, ayudará a paliar las consecuencias negativas del abandono de la UE. El virus ha hecho que la primera ronda se realice a través de videoconferencia. Cada una de las partes ha movilizado a más de 100 expertos y Downing Street promete una “dura discusión” que permita obtener los máximos beneficios posibles para ambas partes. Los dos Gobiernos han manifestado su intención de negociar con un “ritmo acelerado” y dedicar “todos los recursos necesarios para avanzar con velocidad”.",El Reino Unido lanza las negociaciones para un acuerdo comercial con EE UU sin solucionar el Brexit,https://elpais.com/internacional/2020-05-05/el-reino-unido-lanza-las-negociaciones-para-un-acuerdo-comercial-con-ee-uu-sin-solucionar-el-brexit.html,elpais,elpais.com,10,69
f18be489ad10efc17abb3f4d3f7658fd,"A medida que los Estados empiezan a levantar las restricciones, y miles de estadounidenses retoman la ansiada vida normal, la realidad de la pandemia en el país que se ha convertido en su epicentro es la siguiente: casi 1,2 millones de estadounidenses han dado positivo en una prueba de diagnóstico de covid y casi 69.000 han fallecido por el coronavirus; cada jornada se confirman al menos 25.000 casos nuevos, y el 2 de abril fue el último día en que se registraron menos de 1.000 muertes por el virus.",Estados Unidos empieza a reabrir mientras los casos y las muertes siguen creciendo en buena parte del país,https://elpais.com/sociedad/2020-05-05/estados-unidos-empieza-a-reabrir-mientras-los-casos-y-las-muertes-siguen-creciendo-en-buena-parte-del-pais.html,elpais,elpais.com,11,40
5d191031591c68a44698329f9e117cd6,"Brasil empezó la semana con la muerte de Aldir Blanc, el poeta que escribió uno de los más poderosos himnos contra la dictadura militar: “La esperanza equilibrista sabe que el espectáculo de cada artista tiene que continuar”. Fallecido a los 73 por covid-19, el espectáculo de Blanc no ha podido continuar. La esperanza ya ha perdido el equilibrio en Brasil y se desliza hacia el abismo. El país de Aldir Blanc y todo su imaginario han muerto a manos del maníaco que se emborracha con su propia estupidez, estornuda y aprieta la mano de sus seguidores con los dedos pringados. Y luego dice, ante los ...",Brasil está matando Brasil,https://elpais.com/opinion/2020-05-05/brasil-esta-matando-brasil.html,elpais,elpais.com,3,49
8892d102645508923d57b63c07b93a78,"No solo la tos, la fiebre y los ahogos van a ser indicadores de posible coronavirus. “Otros síntomas atípicos como la odinofagia [dolor al tragar], anosmia [pérdida del olfato], ageusia [alteraciones del gusto], dolores musculares, diarreas, dolor torácico o cefaleas, entre otros, pueden ser considerados también síntomas de sospecha de infección” por covid-19, según el documento que acordaron el Ministerio de Sanidad y las comunidades en la reunión del Consejo Interterritorial este lunes. Eso implica, según ese texto, que siempre el médico podrá pedir que se le haga la prueba PCR correspondiente. Pero eso queda a “criterio médico”. En ese momento se le considerará sospechoso y se le aplicarán las medidas de aislamiento acordadas para la detección y control precoz de la enfermedad.","Cefalea, diarrea y dolor torácico o muscular serán síntomas de posible covid-19",https://elpais.com/sociedad/2020-05-05/cefalea-diarrea-y-dolor-toracico-o-muscular-seran-sintomas-de-posible-covid-19.html,elpais,elpais.com,7,67
